participant_id,task,input_type,input_value,timestamp,task_completion_time_in_ms
1,B,key_pressed,7,2021-05-23 20:03:02.847551,
1,B,key_pressed,+,2021-05-23 20:03:03.135587,
1,B,key_pressed,1,2021-05-23 20:03:03.399606,
1,B,key_pressed,8,2021-05-23 20:03:03.647580,
1,B,key_pressed,+,2021-05-23 20:03:03.903637,
1,B,key_pressed,1,2021-05-23 20:03:04.151492,
1,B,key_pressed,9,2021-05-23 20:03:04.471715,
1,B,key_pressed,+,2021-05-23 20:03:04.847395,
1,B,key_pressed,2,2021-05-23 20:03:05.463179,
1,B,key_pressed,0,2021-05-23 20:03:05.759615,
1,B,key_pressed,=,2021-05-23 20:03:06.048451,13480.0
1,D,key_pressed,(,2021-05-23 20:04:18.111211,
1,D,key_pressed,3,2021-05-23 20:04:18.743707,
1,D,key_pressed,**,2021-05-23 20:04:18.835418,
1,D,key_pressed,2,2021-05-23 20:04:18.943328,
1,D,key_pressed,+,2021-05-23 20:04:20.367374,
1,D,key_pressed,4,2021-05-23 20:04:20.963394,
1,D,key_pressed,**,2021-05-23 20:04:21.085016,
1,D,key_pressed,1,2021-05-23 20:04:21.353910,
1,D,key_pressed,2,2021-05-23 20:04:21.361788,
1,D,key_pressed,delete,2021-05-23 20:04:23.179476,
1,D,key_pressed,delete,2021-05-23 20:04:23.715812,
1,D,key_pressed,1,2021-05-23 20:04:24.467362,
1,D,key_pressed,2,2021-05-23 20:04:24.555372,
1,D,key_pressed,delete,2021-05-23 20:04:26.139466,
1,D,key_pressed,delete,2021-05-23 20:04:26.315156,
1,D,key_pressed,3,2021-05-23 20:04:26.851579,
1,D,key_pressed,delete,2021-05-23 20:04:27.235658,
1,D,key_pressed,2,2021-05-23 20:04:27.427610,
1,D,key_pressed,),2021-05-23 20:04:28.907795,
1,D,key_pressed,*,2021-05-23 20:04:29.323182,
1,D,key_pressed,1,2021-05-23 20:04:31.171461,
1,D,key_pressed,5,2021-05-23 20:04:31.283454,
1,D,key_pressed,.,2021-05-23 20:04:31.771716,
1,D,key_pressed,2,2021-05-23 20:04:32.051565,
1,D,key_pressed,=,2021-05-23 20:04:32.219592,14109.0
2,A,button_clicked,1,2021-05-23 20:08:31.470188,
2,A,button_clicked,+,2021-05-23 20:08:34.424140,
2,A,button_clicked,2,2021-05-23 20:08:34.872160,
2,A,button_clicked,+,2021-05-23 20:08:35.392129,
2,A,button_clicked,3,2021-05-23 20:08:35.872215,
2,A,button_clicked,+,2021-05-23 20:08:36.256702,
2,A,button_clicked,4,2021-05-23 20:08:36.855848,
2,A,button_clicked,+,2021-05-23 20:08:37.511921,
2,A,button_clicked,5,2021-05-23 20:08:38.127768,
2,A,button_clicked,+,2021-05-23 20:08:38.755430,
2,A,button_clicked,6,2021-05-23 20:08:39.384139,
2,A,button_clicked,+,2021-05-23 20:08:39.800951,
2,A,button_clicked,7,2021-05-23 20:08:40.440118,
2,A,button_clicked,+,2021-05-23 20:08:41.080509,
2,A,button_clicked,8,2021-05-23 20:08:41.688523,
2,A,button_clicked,+,2021-05-23 20:08:42.224208,
2,A,button_clicked,9,2021-05-23 20:08:42.688020,
2,A,button_clicked,+,2021-05-23 20:08:43.648082,
2,A,button_clicked,1,2021-05-23 20:08:44.327880,
2,A,button_clicked,0,2021-05-23 20:08:44.583828,
2,A,button_clicked,+,2021-05-23 20:08:45.232386,
2,A,button_clicked,1,2021-05-23 20:08:45.968211,
2,A,button_clicked,1,2021-05-23 20:08:46.112427,
2,A,button_clicked,+,2021-05-23 20:08:47.364856,
2,A,button_clicked,1,2021-05-23 20:08:48.181903,
2,A,button_clicked,2,2021-05-23 20:08:48.472110,
2,A,button_clicked,+,2021-05-23 20:08:49.079823,
2,A,button_clicked,1,2021-05-23 20:08:49.536106,
2,A,button_clicked,3,2021-05-23 20:08:50.162487,
2,A,button_clicked,+,2021-05-23 20:08:50.808274,
2,A,button_clicked,1,2021-05-23 20:08:51.664807,
2,A,button_clicked,4,2021-05-23 20:08:53.376551,
2,A,button_clicked,+,2021-05-23 20:08:54.104044,
