input_type,input_value,timestamp
button_clicked,2,2021-05-21 19:34:35.369057
button_clicked,2,2021-05-21 19:34:35.689702
button_clicked,2,2021-05-21 19:34:35.978301
button_clicked,2,2021-05-21 19:34:36.297188
button_clicked,2,2021-05-21 19:34:36.601479
button_clicked,2,2021-05-21 19:34:36.929396
button_clicked,2,2021-05-21 19:34:37.225191
button_clicked,2,2021-05-21 19:34:37.545558
button_clicked,2,2021-05-21 19:34:37.817379
button_clicked,2,2021-05-21 19:34:38.153545
button_clicked,2,2021-05-21 19:34:38.473599
button_clicked,2,2021-05-21 19:34:38.730417
button_clicked,2,2021-05-21 19:34:39.137702
button_clicked,2,2021-05-21 19:34:39.506626
button_clicked,2,2021-05-21 19:34:39.832947
button_clicked,2,2021-05-21 19:34:40.169064
button_clicked,2,2021-05-21 19:34:40.457194
button_clicked,2,2021-05-21 19:34:40.817188
button_clicked,2,2021-05-21 19:34:41.113522
button_clicked,2,2021-05-21 19:34:41.426038
button_clicked,2,2021-05-21 19:34:41.769467
button_clicked,2,2021-05-21 19:34:42.185574
button_clicked,2,2021-05-21 19:34:42.553142
button_clicked,2,2021-05-21 19:34:42.961191
button_clicked,2,2021-05-21 19:34:43.281519
button_clicked,2,2021-05-21 19:34:43.665628
button_clicked,2,2021-05-21 19:34:44.010368
button_clicked,2,2021-05-21 19:34:44.369578
button_clicked,2,2021-05-21 19:34:44.673477
button_clicked,2,2021-05-21 19:34:44.993385
button_clicked,2,2021-05-21 19:34:45.257070
button_clicked,2,2021-05-21 19:34:45.601186
button_clicked,2,2021-05-21 19:34:45.929294
button_clicked,2,2021-05-21 19:34:46.337597
button_clicked,2,2021-05-21 19:34:46.609378
button_clicked,2,2021-05-21 19:34:46.977215
button_clicked,2,2021-05-21 19:34:47.300669
button_clicked,2,2021-05-21 19:34:47.657753
button_clicked,2,2021-05-21 19:34:47.970124
button_clicked,2,2021-05-21 19:34:48.305585
button_clicked,2,2021-05-21 19:34:48.753781
button_clicked,2,2021-05-21 19:34:49.081826
button_clicked,2,2021-05-21 19:34:49.443106
button_clicked,2,2021-05-21 19:34:49.769478
button_clicked,2,2021-05-21 19:34:50.041655
button_clicked,2,2021-05-21 19:34:50.370095
button_clicked,2,2021-05-21 19:34:50.697698
button_clicked,2,2021-05-21 19:34:50.977687
button_clicked,2,2021-05-21 19:34:51.369437
button_clicked,2,2021-05-21 19:34:51.729197
button_clicked,2,2021-05-21 19:34:52.041945
button_clicked,2,2021-05-21 19:34:52.393821
button_clicked,2,2021-05-21 19:34:52.721773
button_clicked,2,2021-05-21 19:34:53.057557
button_clicked,2,2021-05-21 19:34:53.377849
button_clicked,2,2021-05-21 19:34:53.737608
button_clicked,2,2021-05-21 19:34:54.081245
button_clicked,2,2021-05-21 19:34:54.442804
button_clicked,2,2021-05-21 19:34:54.729735
button_clicked,2,2021-05-21 19:34:55.121669
button_clicked,2,2021-05-21 19:34:55.465472
button_clicked,2,2021-05-21 19:34:55.777900
button_clicked,2,2021-05-21 19:34:56.121336
button_clicked,2,2021-05-21 19:34:56.457419
button_clicked,2,2021-05-21 19:34:56.803126
button_clicked,2,2021-05-21 19:34:57.113692
button_clicked,2,2021-05-21 19:34:57.457665
button_clicked,2,2021-05-21 19:34:57.777944
button_clicked,2,2021-05-21 19:34:58.097711
button_clicked,2,2021-05-21 19:34:58.362219
button_clicked,2,2021-05-21 19:34:58.730319
button_clicked,2,2021-05-21 19:34:59.058476
button_clicked,2,2021-05-21 19:34:59.410800
button_clicked,2,2021-05-21 19:34:59.761644
button_clicked,2,2021-05-21 19:35:00.104778
button_clicked,2,2021-05-21 19:35:00.465556
button_clicked,2,2021-05-21 19:35:00.753633
button_clicked,2,2021-05-21 19:35:01.097421
button_clicked,2,2021-05-21 19:35:01.377282
button_clicked,2,2021-05-21 19:35:01.689467
button_clicked,2,2021-05-21 19:35:01.961466
button_clicked,2,2021-05-21 19:35:02.217611
button_clicked,2,2021-05-21 19:35:02.504959
button_clicked,2,2021-05-21 19:35:02.737562
button_clicked,2,2021-05-21 19:35:03.033702
button_clicked,2,2021-05-21 19:35:03.329597
button_clicked,2,2021-05-21 19:35:03.641289
button_clicked,2,2021-05-21 19:35:03.937795
button_clicked,2,2021-05-21 19:35:04.241549
button_clicked,2,2021-05-21 19:35:04.545741
button_clicked,2,2021-05-21 19:35:04.825424
button_clicked,2,2021-05-21 19:35:05.145534
button_clicked,2,2021-05-21 19:35:05.449968
button_clicked,2,2021-05-21 19:35:05.730491
button_clicked,2,2021-05-21 19:35:06.017867
button_clicked,2,2021-05-21 19:35:06.329470
button_clicked,2,2021-05-21 19:35:06.641345
button_clicked,2,2021-05-21 19:35:06.969860
button_clicked,2,2021-05-21 19:35:07.258149
button_clicked,2,2021-05-21 19:35:07.537691
