input_type,input_value,timestamp
key_pressed,1,2021-05-21 19:35:57.603895
key_pressed,1,2021-05-21 19:35:57.860989
key_pressed,1,2021-05-21 19:35:58.157107
key_pressed,1,2021-05-21 19:35:58.381104
key_pressed,1,2021-05-21 19:35:58.717120
key_pressed,1,2021-05-21 19:35:58.981146
key_pressed,1,2021-05-21 19:35:59.301384
key_pressed,1,2021-05-21 19:35:59.549119
key_pressed,1,2021-05-21 19:35:59.821007
key_pressed,1,2021-05-21 19:36:00.100835
key_pressed,1,2021-05-21 19:36:00.341313
key_pressed,1,2021-05-21 19:36:00.677166
key_pressed,1,2021-05-21 19:36:00.940701
key_pressed,1,2021-05-21 19:36:01.221033
key_pressed,1,2021-05-21 19:36:01.501012
key_pressed,1,2021-05-21 19:36:01.733137
key_pressed,1,2021-05-21 19:36:02.020890
key_pressed,1,2021-05-21 19:36:02.277160
key_pressed,1,2021-05-21 19:36:02.524974
key_pressed,1,2021-05-21 19:36:02.861076
key_pressed,1,2021-05-21 19:36:03.109060
key_pressed,1,2021-05-21 19:36:03.373096
key_pressed,1,2021-05-21 19:36:03.725012
key_pressed,1,2021-05-21 19:36:03.948966
key_pressed,1,2021-05-21 19:36:04.228993
key_pressed,1,2021-05-21 19:36:04.532520
key_pressed,1,2021-05-21 19:36:04.844784
key_pressed,1,2021-05-21 19:36:05.157251
key_pressed,1,2021-05-21 19:36:05.437536
key_pressed,1,2021-05-21 19:36:05.772705
key_pressed,1,2021-05-21 19:36:06.068667
key_pressed,1,2021-05-21 19:36:06.437598
key_pressed,1,2021-05-21 19:36:06.708680
key_pressed,1,2021-05-21 19:36:06.973035
key_pressed,1,2021-05-21 19:36:07.301040
key_pressed,1,2021-05-21 19:36:07.676978
key_pressed,1,2021-05-21 19:36:07.949655
key_pressed,1,2021-05-21 19:36:08.269040
key_pressed,1,2021-05-21 19:36:08.540972
key_pressed,1,2021-05-21 19:36:08.860816
key_pressed,1,2021-05-21 19:36:09.173113
key_pressed,1,2021-05-21 19:36:09.485062
key_pressed,1,2021-05-21 19:36:09.804631
key_pressed,1,2021-05-21 19:36:10.072658
key_pressed,1,2021-05-21 19:36:10.440680
key_pressed,1,2021-05-21 19:36:10.688432
key_pressed,1,2021-05-21 19:36:11.016957
key_pressed,1,2021-05-21 19:36:11.304506
key_pressed,1,2021-05-21 19:36:11.608913
key_pressed,1,2021-05-21 19:36:11.864893
key_pressed,1,2021-05-21 19:36:12.145192
key_pressed,1,2021-05-21 19:36:12.400804
key_pressed,1,2021-05-21 19:36:12.680759
key_pressed,1,2021-05-21 19:36:12.951758
key_pressed,1,2021-05-21 19:36:13.204984
key_pressed,1,2021-05-21 19:36:13.552974
key_pressed,1,2021-05-21 19:36:13.776996
key_pressed,1,2021-05-21 19:36:14.137020
key_pressed,1,2021-05-21 19:36:14.345005
key_pressed,1,2021-05-21 19:36:14.681159
key_pressed,1,2021-05-21 19:36:14.953013
key_pressed,1,2021-05-21 19:36:15.233101
key_pressed,1,2021-05-21 19:36:15.443060
key_pressed,1,2021-05-21 19:36:15.784836
key_pressed,1,2021-05-21 19:36:16.017030
key_pressed,1,2021-05-21 19:36:16.288988
key_pressed,1,2021-05-21 19:36:16.537030
key_pressed,1,2021-05-21 19:36:16.776975
key_pressed,1,2021-05-21 19:36:17.048760
key_pressed,1,2021-05-21 19:36:17.296596
key_pressed,1,2021-05-21 19:36:17.584795
key_pressed,1,2021-05-21 19:36:17.776868
key_pressed,1,2021-05-21 19:36:18.144889
key_pressed,1,2021-05-21 19:36:18.424777
key_pressed,1,2021-05-21 19:36:18.664773
key_pressed,1,2021-05-21 19:36:18.920976
key_pressed,1,2021-05-21 19:36:19.193016
key_pressed,1,2021-05-21 19:36:19.455143
key_pressed,1,2021-05-21 19:36:19.713039
key_pressed,1,2021-05-21 19:36:19.977039
key_pressed,1,2021-05-21 19:36:20.296906
key_pressed,1,2021-05-21 19:36:20.529036
key_pressed,1,2021-05-21 19:36:20.857092
key_pressed,1,2021-05-21 19:36:21.096963
key_pressed,1,2021-05-21 19:36:21.472827
key_pressed,1,2021-05-21 19:36:21.712765
key_pressed,1,2021-05-21 19:36:22.001057
key_pressed,1,2021-05-21 19:36:22.272921
key_pressed,1,2021-05-21 19:36:22.480850
key_pressed,1,2021-05-21 19:36:22.752885
key_pressed,1,2021-05-21 19:36:23.008927
key_pressed,1,2021-05-21 19:36:23.224960
key_pressed,1,2021-05-21 19:36:23.433066
key_pressed,1,2021-05-21 19:36:23.696611
key_pressed,1,2021-05-21 19:36:23.953264
key_pressed,1,2021-05-21 19:36:24.209077
key_pressed,1,2021-05-21 19:36:24.440689
key_pressed,1,2021-05-21 19:36:24.705082
key_pressed,1,2021-05-21 19:36:24.928822
key_pressed,1,2021-05-21 19:36:25.168888
