participant_id,task,input_type,input_value,timestamp
12,D,key_pressed,(,2021-05-23 19:46:49.114052
12,D,key_pressed,3,2021-05-23 19:46:49.817581
12,D,key_pressed,**,2021-05-23 19:46:50.106097
12,D,key_pressed,2,2021-05-23 19:46:50.353531
12,D,key_pressed,+,2021-05-23 19:46:51.153536
12,D,key_pressed,4,2021-05-23 19:46:51.905088
12,D,key_pressed,**,2021-05-23 19:46:52.113558
12,D,key_pressed,2,2021-05-23 19:46:52.385005
12,D,key_pressed,),2021-05-23 19:46:53.225161
12,D,key_pressed,*,2021-05-23 19:46:54.090272
12,D,key_pressed,1,2021-05-23 19:46:54.497309
12,D,key_pressed,5,2021-05-23 19:46:54.697543
12,D,key_pressed,.,2021-05-23 19:46:55.297266
12,D,key_pressed,2,2021-05-23 19:46:55.601138
12,D,key_pressed,=,2021-05-23 19:46:55.961218
