participant_id,task,input_type,input_value,timestamp
7,D,key_pressed,(,2021-05-23 20:33:45.740711
7,D,key_pressed,3,2021-05-23 20:33:46.932682
7,D,key_pressed,**,2021-05-23 20:33:47.324539
7,D,key_pressed,2,2021-05-23 20:33:47.684620
7,D,key_pressed,+,2021-05-23 20:33:48.117013
7,D,key_pressed,4,2021-05-23 20:33:48.660503
7,D,key_pressed,**,2021-05-23 20:33:49.108358
7,D,key_pressed,2,2021-05-23 20:33:49.532562
7,D,key_pressed,),2021-05-23 20:33:50.492304
7,D,key_pressed,*,2021-05-23 20:33:51.612375
7,D,key_pressed,1,2021-05-23 20:33:53.524430
7,D,key_pressed,5,2021-05-23 20:33:54.012349
7,D,key_pressed,.,2021-05-23 20:33:54.452311
7,D,key_pressed,2,2021-05-23 20:33:54.828401
7,D,key_pressed,=,2021-05-23 20:33:55.125132
