participant_id,task,input_type,input_value,timestamp
14,B,key_pressed,1,2021-05-23 21:37:49.075406
14,B,key_pressed,+,2021-05-23 21:37:49.331069
14,B,key_pressed,2,2021-05-23 21:37:49.602643
14,B,key_pressed,+,2021-05-23 21:37:49.834618
14,B,key_pressed,3,2021-05-23 21:37:50.099041
14,B,key_pressed,+,2021-05-23 21:37:50.322302
14,B,key_pressed,4,2021-05-23 21:37:50.602309
14,B,key_pressed,+,2021-05-23 21:37:50.818391
14,B,key_pressed,5,2021-05-23 21:37:51.018456
14,B,key_pressed,+,2021-05-23 21:37:51.242252
14,B,key_pressed,6,2021-05-23 21:37:51.458239
14,B,key_pressed,+,2021-05-23 21:37:51.706695
14,B,key_pressed,7,2021-05-23 21:37:51.986811
14,B,key_pressed,+,2021-05-23 21:37:52.218737
14,B,key_pressed,8,2021-05-23 21:37:52.474742
14,B,key_pressed,+,2021-05-23 21:37:52.722637
14,B,key_pressed,9,2021-05-23 21:37:53.034650
14,B,key_pressed,+,2021-05-23 21:37:53.355451
14,B,key_pressed,1,2021-05-23 21:37:53.626634
14,B,key_pressed,0,2021-05-23 21:37:53.818565
14,B,key_pressed,+,2021-05-23 21:37:54.018611
14,B,key_pressed,1,2021-05-23 21:37:54.242658
14,B,key_pressed,1,2021-05-23 21:37:54.384131
14,B,key_pressed,+,2021-05-23 21:37:54.578965
14,B,key_pressed,1,2021-05-23 21:37:54.786248
14,B,key_pressed,2,2021-05-23 21:37:54.978645
14,B,key_pressed,+,2021-05-23 21:37:55.210440
14,B,key_pressed,1,2021-05-23 21:37:55.418853
14,B,key_pressed,3,2021-05-23 21:37:55.746243
14,B,key_pressed,+,2021-05-23 21:37:55.994954
14,B,key_pressed,1,2021-05-23 21:37:56.330449
14,B,key_pressed,4,2021-05-23 21:37:56.538863
14,B,key_pressed,+,2021-05-23 21:37:56.730492
14,B,key_pressed,1,2021-05-23 21:37:56.914892
14,B,key_pressed,5,2021-05-23 21:37:57.082873
14,B,key_pressed,+,2021-05-23 21:37:57.315243
14,B,key_pressed,1,2021-05-23 21:37:57.490289
14,B,key_pressed,6,2021-05-23 21:37:57.714543
14,B,key_pressed,+,2021-05-23 21:37:57.914902
14,B,key_pressed,1,2021-05-23 21:37:58.138381
14,B,key_pressed,7,2021-05-23 21:37:58.387412
14,B,key_pressed,1,2021-05-23 21:37:58.587939
14,B,key_pressed,delete,2021-05-23 21:37:59.626661
14,B,key_pressed,+,2021-05-23 21:38:00.306435
14,B,key_pressed,1,2021-05-23 21:38:00.938377
14,B,key_pressed,8,2021-05-23 21:38:01.106745
14,B,key_pressed,+,2021-05-23 21:38:01.450203
14,B,key_pressed,1,2021-05-23 21:38:01.794177
14,B,key_pressed,9,2021-05-23 21:38:02.066550
14,B,key_pressed,+,2021-05-23 21:38:02.426780
14,B,key_pressed,2,2021-05-23 21:38:02.722670
14,B,key_pressed,0,2021-05-23 21:38:02.880291
14,B,key_pressed,=,2021-05-23 21:38:03.035497
