participant_id,task,input_type,input_value,timestamp
7,B,key_pressed,1,2021-05-23 20:34:35.353386
7,B,key_pressed,+,2021-05-23 20:34:35.512842
7,B,key_pressed,2,2021-05-23 20:34:35.728586
7,B,key_pressed,+,2021-05-23 20:34:35.856378
7,B,key_pressed,3,2021-05-23 20:34:36.088586
7,B,key_pressed,+,2021-05-23 20:34:36.232527
7,B,key_pressed,4,2021-05-23 20:34:36.504540
7,B,key_pressed,+,2021-05-23 20:34:36.656506
7,B,key_pressed,5,2021-05-23 20:34:37.152483
7,B,key_pressed,+,2021-05-23 20:34:37.336509
7,B,key_pressed,6,2021-05-23 20:34:37.608530
7,B,key_pressed,+,2021-05-23 20:34:37.800583
7,B,key_pressed,7,2021-05-23 20:34:38.033134
7,B,key_pressed,+,2021-05-23 20:34:38.184807
7,B,key_pressed,8,2021-05-23 20:34:38.401073
7,B,key_pressed,+,2021-05-23 20:34:38.569083
7,B,key_pressed,9,2021-05-23 20:34:38.832766
7,B,key_pressed,+,2021-05-23 20:34:39.072451
7,B,key_pressed,1,2021-05-23 20:34:39.544545
7,B,key_pressed,0,2021-05-23 20:34:39.784654
7,B,key_pressed,+,2021-05-23 20:34:39.952650
7,B,key_pressed,1,2021-05-23 20:34:40.216585
7,B,key_pressed,1,2021-05-23 20:34:40.408351
7,B,key_pressed,+,2021-05-23 20:34:40.608633
7,B,key_pressed,1,2021-05-23 20:34:40.840424
7,B,key_pressed,2,2021-05-23 20:34:41.096229
7,B,key_pressed,+,2021-05-23 20:34:41.280358
7,B,key_pressed,1,2021-05-23 20:34:41.512440
7,B,key_pressed,3,2021-05-23 20:34:41.728165
7,B,key_pressed,+,2021-05-23 20:34:42.024240
7,B,key_pressed,1,2021-05-23 20:34:42.248893
7,B,key_pressed,4,2021-05-23 20:34:42.560299
7,B,key_pressed,+,2021-05-23 20:34:42.768930
7,B,key_pressed,1,2021-05-23 20:34:43.056312
7,B,key_pressed,5,2021-05-23 20:34:43.264270
7,B,key_pressed,+,2021-05-23 20:34:43.544269
7,B,key_pressed,1,2021-05-23 20:34:43.808514
7,B,key_pressed,6,2021-05-23 20:34:44.016600
7,B,key_pressed,+,2021-05-23 20:34:44.296348
7,B,key_pressed,1,2021-05-23 20:34:44.600300
7,B,key_pressed,7,2021-05-23 20:34:45.024776
7,B,key_pressed,+,2021-05-23 20:34:45.208884
7,B,key_pressed,1,2021-05-23 20:34:45.448907
7,B,key_pressed,8,2021-05-23 20:34:45.888433
7,B,key_pressed,+,2021-05-23 20:34:46.064586
7,B,key_pressed,1,2021-05-23 20:34:46.408385
7,B,key_pressed,9,2021-05-23 20:34:46.632812
7,B,key_pressed,+,2021-05-23 20:34:46.888625
7,B,key_pressed,2,2021-05-23 20:34:47.152545
7,B,key_pressed,0,2021-05-23 20:34:47.416588
7,B,key_pressed,=,2021-05-23 20:34:47.609454
