participant_id,task,input_type,input_value,timestamp
6,D,key_pressed,(,2021-05-23 20:31:52.956297
6,D,key_pressed,3,2021-05-23 20:31:54.100338
6,D,key_pressed,**,2021-05-23 20:31:54.764194
6,D,key_pressed,2,2021-05-23 20:31:55.140584
6,D,key_pressed,+,2021-05-23 20:31:55.636253
6,D,key_pressed,4,2021-05-23 20:31:56.244502
6,D,key_pressed,**,2021-05-23 20:31:57.048271
6,D,key_pressed,2,2021-05-23 20:31:57.424496
6,D,key_pressed,),2021-05-23 20:31:58.404196
6,D,key_pressed,*,2021-05-23 20:32:00.668474
6,D,key_pressed,1,2021-05-23 20:32:01.296233
6,D,key_pressed,5,2021-05-23 20:32:01.608198
6,D,key_pressed,.,2021-05-23 20:32:02.120796
6,D,key_pressed,2,2021-05-23 20:32:02.417488
6,D,key_pressed,=,2021-05-23 20:32:03.136480
