participant_id,task,input_type,input_value,timestamp
12,B,key_pressed,1,2021-05-23 19:49:22.551469
12,B,key_pressed,+,2021-05-23 19:49:22.824395
12,B,key_pressed,2,2021-05-23 19:49:23.104694
12,B,key_pressed,+,2021-05-23 19:49:23.344419
12,B,key_pressed,3,2021-05-23 19:49:23.600369
12,B,key_pressed,+,2021-05-23 19:49:23.829933
12,B,key_pressed,4,2021-05-23 19:49:24.120887
12,B,key_pressed,+,2021-05-23 19:49:24.384103
12,B,key_pressed,5,2021-05-23 19:49:24.640716
12,B,key_pressed,+,2021-05-23 19:49:24.912530
12,B,key_pressed,6,2021-05-23 19:49:25.144442
12,B,key_pressed,+,2021-05-23 19:49:25.416667
12,B,key_pressed,7,2021-05-23 19:49:25.736507
12,B,key_pressed,+,2021-05-23 19:49:26.000176
12,B,key_pressed,8,2021-05-23 19:49:26.248465
12,B,key_pressed,+,2021-05-23 19:49:26.512089
12,B,key_pressed,9,2021-05-23 19:49:26.776340
12,B,key_pressed,+,2021-05-23 19:49:27.056400
12,B,key_pressed,1,2021-05-23 19:49:27.376268
12,B,key_pressed,0,2021-05-23 19:49:27.600087
12,B,key_pressed,+,2021-05-23 19:49:27.863281
12,B,key_pressed,1,2021-05-23 19:49:28.208213
12,B,key_pressed,1,2021-05-23 19:49:28.392115
12,B,key_pressed,+,2021-05-23 19:49:28.685955
12,B,key_pressed,1,2021-05-23 19:49:28.984368
12,B,key_pressed,2,2021-05-23 19:49:29.208058
12,B,key_pressed,+,2021-05-23 19:49:29.440440
12,B,key_pressed,1,2021-05-23 19:49:29.984285
12,B,key_pressed,3,2021-05-23 19:49:30.472972
12,B,key_pressed,+,2021-05-23 19:49:30.829920
12,B,key_pressed,1,2021-05-23 19:49:31.264263
12,B,key_pressed,4,2021-05-23 19:49:31.480591
12,B,key_pressed,+,2021-05-23 19:49:31.728393
12,B,key_pressed,1,2021-05-23 19:49:31.984317
12,B,key_pressed,5,2021-05-23 19:49:32.192043
12,B,key_pressed,+,2021-05-23 19:49:32.432370
12,B,key_pressed,1,2021-05-23 19:49:32.712604
12,B,key_pressed,6,2021-05-23 19:49:32.952444
12,B,key_pressed,+,2021-05-23 19:49:33.192269
12,B,key_pressed,1,2021-05-23 19:49:33.512446
12,B,key_pressed,7,2021-05-23 19:49:33.752455
12,B,key_pressed,+,2021-05-23 19:49:34.048709
12,B,key_pressed,1,2021-05-23 19:49:34.326718
12,B,key_pressed,8,2021-05-23 19:49:34.568535
12,B,key_pressed,+,2021-05-23 19:49:34.816255
12,B,key_pressed,1,2021-05-23 19:49:35.097205
12,B,key_pressed,9,2021-05-23 19:49:35.368377
12,B,key_pressed,+,2021-05-23 19:49:35.616241
12,B,key_pressed,2,2021-05-23 19:49:35.920235
12,B,key_pressed,0,2021-05-23 19:49:36.168383
12,B,key_pressed,=,2021-05-23 19:49:36.480275
