participant_id,task,input_type,input_value,timestamp
8,A,button_clicked,1,2021-05-23 20:36:57.201313
8,A,button_clicked,+,2021-05-23 20:36:58.073618
8,A,button_clicked,2,2021-05-23 20:36:58.665381
8,A,button_clicked,+,2021-05-23 20:36:59.169729
8,A,button_clicked,3,2021-05-23 20:36:59.553596
8,A,button_clicked,+,2021-05-23 20:37:00.039569
8,A,button_clicked,4,2021-05-23 20:37:00.649180
8,A,button_clicked,+,2021-05-23 20:37:01.269855
8,A,button_clicked,5,2021-05-23 20:37:01.832745
8,A,button_clicked,+,2021-05-23 20:37:02.393143
8,A,button_clicked,6,2021-05-23 20:37:02.904764
8,A,button_clicked,+,2021-05-23 20:37:03.497391
8,A,button_clicked,7,2021-05-23 20:37:04.113082
8,A,button_clicked,+,2021-05-23 20:37:04.592923
8,A,button_clicked,8,2021-05-23 20:37:05.048974
8,A,button_clicked,+,2021-05-23 20:37:05.649850
8,A,button_clicked,9,2021-05-23 20:37:06.192896
8,A,button_clicked,+,2021-05-23 20:37:06.705117
8,A,button_clicked,1,2021-05-23 20:37:07.185545
8,A,button_clicked,0,2021-05-23 20:37:07.481772
8,A,button_clicked,+,2021-05-23 20:37:08.057279
8,A,button_clicked,1,2021-05-23 20:37:08.641476
8,A,button_clicked,1,2021-05-23 20:37:08.753593
8,A,button_clicked,+,2021-05-23 20:37:09.432922
8,A,button_clicked,1,2021-05-23 20:37:09.937345
8,A,button_clicked,2,2021-05-23 20:37:10.393628
8,A,button_clicked,+,2021-05-23 20:37:10.841687
8,A,button_clicked,1,2021-05-23 20:37:11.457382
8,A,button_clicked,3,2021-05-23 20:37:11.953450
8,A,button_clicked,+,2021-05-23 20:37:12.449655
8,A,button_clicked,1,2021-05-23 20:37:13.033903
8,A,button_clicked,4,2021-05-23 20:37:13.337084
8,A,button_clicked,+,2021-05-23 20:37:14.257189
8,A,button_clicked,1,2021-05-23 20:37:14.841293
8,A,button_clicked,5,2021-05-23 20:37:15.433832
8,A,button_clicked,+,2021-05-23 20:37:16.097063
8,A,button_clicked,1,2021-05-23 20:37:16.689566
8,A,button_clicked,6,2021-05-23 20:37:17.329176
8,A,button_clicked,+,2021-05-23 20:37:17.849297
8,A,button_clicked,1,2021-05-23 20:37:18.505367
8,A,button_clicked,7,2021-05-23 20:37:18.945315
8,A,button_clicked,+,2021-05-23 20:37:19.715799
8,A,button_clicked,1,2021-05-23 20:37:20.329709
8,A,button_clicked,8,2021-05-23 20:37:20.778451
8,A,button_clicked,+,2021-05-23 20:37:21.507139
8,A,button_clicked,1,2021-05-23 20:37:21.993258
8,A,button_clicked,9,2021-05-23 20:37:22.577071
8,A,button_clicked,+,2021-05-23 20:37:23.081658
8,A,button_clicked,2,2021-05-23 20:37:23.666232
8,A,button_clicked,0,2021-05-23 20:37:24.193457
8,A,button_clicked,=,2021-05-23 20:37:24.729461
