participant_id,task,input_type,input_value,timestamp
10,A,button_clicked,1,2021-05-23 19:40:06.154754
10,A,button_clicked,+,2021-05-23 19:40:07.483358
10,A,button_clicked,2,2021-05-23 19:40:08.149613
10,A,button_clicked,+,2021-05-23 19:40:08.796861
10,A,button_clicked,3,2021-05-23 19:40:09.281779
10,A,button_clicked,+,2021-05-23 19:40:09.858217
10,A,button_clicked,4,2021-05-23 19:40:10.701275
10,A,button_clicked,+,2021-05-23 19:40:11.533072
10,A,button_clicked,5,2021-05-23 19:40:13.172893
10,A,button_clicked,+,2021-05-23 19:40:13.741595
10,A,button_clicked,6,2021-05-23 19:40:14.532543
10,A,button_clicked,+,2021-05-23 19:40:15.196463
10,A,button_clicked,7,2021-05-23 19:40:16.220628
10,A,button_clicked,+,2021-05-23 19:40:16.819533
10,A,button_clicked,8,2021-05-23 19:40:17.356367
10,A,button_clicked,9,2021-05-23 19:40:18.789007
10,A,button_clicked,+,2021-05-23 19:40:19.386522
10,A,button_clicked,1,2021-05-23 19:40:20.212987
10,A,button_clicked,0,2021-05-23 19:40:20.581096
10,A,button_clicked,+,2021-05-23 19:40:21.261591
10,A,button_clicked,1,2021-05-23 19:40:22.149520
10,A,button_clicked,1,2021-05-23 19:40:22.340637
10,A,button_clicked,+,2021-05-23 19:40:22.949516
10,A,button_clicked,1,2021-05-23 19:40:24.181573
10,A,button_clicked,2,2021-05-23 19:40:24.549138
10,A,button_clicked,+,2021-05-23 19:40:25.171423
10,A,button_clicked,1,2021-05-23 19:40:25.743160
10,A,button_clicked,3,2021-05-23 19:40:26.229631
10,A,button_clicked,+,2021-05-23 19:40:26.668889
10,A,button_clicked,1,2021-05-23 19:40:27.436914
10,A,button_clicked,4,2021-05-23 19:40:27.849817
10,A,button_clicked,+,2021-05-23 19:40:28.910049
10,A,button_clicked,1,2021-05-23 19:40:29.889649
10,A,button_clicked,5,2021-05-23 19:40:30.340494
10,A,button_clicked,+,2021-05-23 19:40:30.892828
10,A,button_clicked,1,2021-05-23 19:40:31.660936
10,A,button_clicked,6,2021-05-23 19:40:32.620974
10,A,button_clicked,+,2021-05-23 19:40:33.548512
10,A,button_clicked,1,2021-05-23 19:40:34.141560
10,A,button_clicked,7,2021-05-23 19:40:34.581379
10,A,button_clicked,+,2021-05-23 19:40:35.252763
10,A,button_clicked,1,2021-05-23 19:40:36.051958
10,A,button_clicked,8,2021-05-23 19:40:36.949605
10,A,button_clicked,+,2021-05-23 19:40:37.789330
10,A,button_clicked,1,2021-05-23 19:40:38.485503
10,A,button_clicked,9,2021-05-23 19:40:39.213285
10,A,button_clicked,+,2021-05-23 19:40:40.444912
10,A,button_clicked,2,2021-05-23 19:40:41.132857
10,A,button_clicked,0,2021-05-23 19:40:41.749125
10,A,button_clicked,=,2021-05-23 19:40:42.405162
