participant_id,task,input_type,input_value,timestamp
13,B,key_pressed,1,2021-05-23 21:34:58.217752
13,B,key_pressed,+,2021-05-23 21:34:58.539659
13,B,key_pressed,2,2021-05-23 21:34:58.819577
13,B,key_pressed,+,2021-05-23 21:34:59.083426
13,B,key_pressed,3,2021-05-23 21:34:59.360760
13,B,key_pressed,+,2021-05-23 21:34:59.643665
13,B,key_pressed,4,2021-05-23 21:34:59.947837
13,B,key_pressed,+,2021-05-23 21:35:00.203367
13,B,key_pressed,5,2021-05-23 21:35:00.459458
13,B,key_pressed,+,2021-05-23 21:35:00.747913
13,B,key_pressed,6,2021-05-23 21:35:00.995808
13,B,key_pressed,+,2021-05-23 21:35:01.291554
13,B,key_pressed,7,2021-05-23 21:35:01.579469
13,B,key_pressed,+,2021-05-23 21:35:01.843668
13,B,key_pressed,8,2021-05-23 21:35:02.099439
13,B,key_pressed,+,2021-05-23 21:35:02.348678
13,B,key_pressed,9,2021-05-23 21:35:02.673249
13,B,key_pressed,+,2021-05-23 21:35:03.091460
13,B,key_pressed,1,2021-05-23 21:35:03.356909
13,B,key_pressed,0,2021-05-23 21:35:03.555524
13,B,key_pressed,+,2021-05-23 21:35:03.795716
13,B,key_pressed,1,2021-05-23 21:35:04.035548
13,B,key_pressed,1,2021-05-23 21:35:04.168951
13,B,key_pressed,+,2021-05-23 21:35:04.377280
13,B,key_pressed,1,2021-05-23 21:35:04.611918
13,B,key_pressed,2,2021-05-23 21:35:04.819508
13,B,key_pressed,+,2021-05-23 21:35:05.875596
13,B,key_pressed,1,2021-05-23 21:35:06.371361
13,B,key_pressed,3,2021-05-23 21:35:06.571751
13,B,key_pressed,+,2021-05-23 21:35:06.947685
13,B,key_pressed,1,2021-05-23 21:35:07.235364
13,B,key_pressed,4,2021-05-23 21:35:07.443636
13,B,key_pressed,+,2021-05-23 21:35:07.643588
13,B,key_pressed,1,2021-05-23 21:35:07.995676
13,B,key_pressed,5,2021-05-23 21:35:08.259541
13,B,key_pressed,+,2021-05-23 21:35:08.572156
13,B,key_pressed,1,2021-05-23 21:35:08.811483
13,B,key_pressed,6,2021-05-23 21:35:09.227467
13,B,key_pressed,+,2021-05-23 21:35:09.555553
13,B,key_pressed,1,2021-05-23 21:35:09.819420
13,B,key_pressed,7,2021-05-23 21:35:10.091629
13,B,key_pressed,+,2021-05-23 21:35:10.491484
13,B,key_pressed,1,2021-05-23 21:35:10.731772
13,B,key_pressed,8,2021-05-23 21:35:11.203306
13,B,key_pressed,+,2021-05-23 21:35:11.636674
13,B,key_pressed,1,2021-05-23 21:35:11.881564
13,B,key_pressed,9,2021-05-23 21:35:12.435360
13,B,key_pressed,+,2021-05-23 21:35:12.698494
13,B,key_pressed,2,2021-05-23 21:35:13.227393
13,B,key_pressed,0,2021-05-23 21:35:13.401960
13,B,key_pressed,=,2021-05-23 21:35:13.724568
