participant_id,task,input_type,input_value,timestamp
16,B,key_pressed,1,2021-05-23 21:45:12.736336
16,B,key_pressed,+,2021-05-23 21:45:13.023256
16,B,key_pressed,2,2021-05-23 21:45:13.279486
16,B,key_pressed,+,2021-05-23 21:45:13.567626
16,B,key_pressed,3,2021-05-23 21:45:13.845096
16,B,key_pressed,+,2021-05-23 21:45:14.103657
16,B,key_pressed,4,2021-05-23 21:45:14.399708
16,B,key_pressed,+,2021-05-23 21:45:14.647809
16,B,key_pressed,5,2021-05-23 21:45:14.886913
16,B,key_pressed,+,2021-05-23 21:45:15.143691
16,B,key_pressed,6,2021-05-23 21:45:15.391594
16,B,key_pressed,+,2021-05-23 21:45:15.637039
16,B,key_pressed,7,2021-05-23 21:45:15.927244
16,B,key_pressed,+,2021-05-23 21:45:16.167529
16,B,key_pressed,8,2021-05-23 21:45:16.415690
16,B,key_pressed,+,2021-05-23 21:45:16.671895
16,B,key_pressed,9,2021-05-23 21:45:16.983317
16,B,key_pressed,+,2021-05-23 21:45:17.271597
16,B,key_pressed,1,2021-05-23 21:45:17.631414
16,B,key_pressed,0,2021-05-23 21:45:17.852695
16,B,key_pressed,+,2021-05-23 21:45:18.071585
16,B,key_pressed,1,2021-05-23 21:45:18.327793
16,B,key_pressed,1,2021-05-23 21:45:18.487571
16,B,key_pressed,+,2021-05-23 21:45:18.703683
16,B,key_pressed,1,2021-05-23 21:45:18.911676
16,B,key_pressed,2,2021-05-23 21:45:19.167360
16,B,key_pressed,+,2021-05-23 21:45:19.447987
16,B,key_pressed,1,2021-05-23 21:45:19.720034
16,B,key_pressed,3,2021-05-23 21:45:19.967416
16,B,key_pressed,+,2021-05-23 21:45:20.263843
16,B,key_pressed,1,2021-05-23 21:45:20.536060
16,B,key_pressed,4,2021-05-23 21:45:20.935406
16,B,key_pressed,+,2021-05-23 21:45:21.167888
16,B,key_pressed,1,2021-05-23 21:45:21.383331
16,B,key_pressed,5,2021-05-23 21:45:21.592070
16,B,key_pressed,+,2021-05-23 21:45:21.783754
16,B,key_pressed,1,2021-05-23 21:45:21.983473
16,B,key_pressed,6,2021-05-23 21:45:22.207877
16,B,key_pressed,+,2021-05-23 21:45:22.415974
16,B,key_pressed,1,2021-05-23 21:45:22.630310
16,B,key_pressed,7,2021-05-23 21:45:22.877991
16,B,key_pressed,+,2021-05-23 21:45:23.095763
16,B,key_pressed,1,2021-05-23 21:45:23.319592
16,B,key_pressed,8,2021-05-23 21:45:23.535602
16,B,key_pressed,+,2021-05-23 21:45:23.877297
16,B,key_pressed,1,2021-05-23 21:45:24.159447
16,B,key_pressed,9,2021-05-23 21:45:24.415389
16,B,key_pressed,+,2021-05-23 21:45:24.671674
16,B,key_pressed,2,2021-05-23 21:45:24.927767
16,B,key_pressed,0,2021-05-23 21:45:25.127805
16,B,key_pressed,=,2021-05-23 21:45:25.496666
