participant_id,task,input_type,input_value,timestamp
15,B,key_pressed,1,2021-05-23 21:41:39.833623
15,B,key_pressed,+,2021-05-23 21:41:40.112679
15,B,key_pressed,2,2021-05-23 21:41:40.385054
15,B,key_pressed,+,2021-05-23 21:41:40.625392
15,B,key_pressed,1,2021-05-23 21:41:40.905653
15,B,key_pressed,delete,2021-05-23 21:41:41.905175
15,B,key_pressed,3,2021-05-23 21:41:42.465287
15,B,key_pressed,+,2021-05-23 21:41:42.689141
15,B,key_pressed,4,2021-05-23 21:41:42.977035
15,B,key_pressed,+,2021-05-23 21:41:43.193175
15,B,key_pressed,5,2021-05-23 21:41:43.401027
15,B,key_pressed,+,2021-05-23 21:41:43.657060
15,B,key_pressed,6,2021-05-23 21:41:43.896783
15,B,key_pressed,+,2021-05-23 21:41:44.129225
15,B,key_pressed,7,2021-05-23 21:41:44.409521
15,B,key_pressed,+,2021-05-23 21:41:44.657549
15,B,key_pressed,8,2021-05-23 21:41:44.897072
15,B,key_pressed,+,2021-05-23 21:41:45.128839
15,B,key_pressed,9,2021-05-23 21:41:45.422690
15,B,key_pressed,+,2021-05-23 21:41:45.817038
15,B,key_pressed,1,2021-05-23 21:41:46.136621
15,B,key_pressed,0,2021-05-23 21:41:46.352995
15,B,key_pressed,+,2021-05-23 21:41:46.569178
15,B,key_pressed,1,2021-05-23 21:41:46.824993
15,B,key_pressed,1,2021-05-23 21:41:47.321322
15,B,key_pressed,+,2021-05-23 21:41:47.593184
15,B,key_pressed,1,2021-05-23 21:41:47.825257
15,B,key_pressed,2,2021-05-23 21:41:48.009205
15,B,key_pressed,+,2021-05-23 21:41:48.249360
15,B,key_pressed,1,2021-05-23 21:41:48.497382
15,B,key_pressed,3,2021-05-23 21:41:48.809137
15,B,key_pressed,+,2021-05-23 21:41:49.089021
15,B,key_pressed,1,2021-05-23 21:41:49.424494
15,B,key_pressed,4,2021-05-23 21:41:49.616719
15,B,key_pressed,+,2021-05-23 21:41:49.816972
15,B,key_pressed,1,2021-05-23 21:41:50.017006
15,B,key_pressed,5,2021-05-23 21:41:50.208801
15,B,key_pressed,+,2021-05-23 21:41:50.440926
15,B,key_pressed,1,2021-05-23 21:41:50.705292
15,B,key_pressed,6,2021-05-23 21:41:50.953340
15,B,key_pressed,+,2021-05-23 21:41:51.224875
15,B,key_pressed,1,2021-05-23 21:41:51.481138
15,B,key_pressed,7,2021-05-23 21:41:51.697169
15,B,key_pressed,+,2021-05-23 21:41:52.168836
15,B,key_pressed,1,2021-05-23 21:41:52.425209
15,B,key_pressed,8,2021-05-23 21:41:52.656971
15,B,key_pressed,+,2021-05-23 21:41:52.846692
15,B,key_pressed,1,2021-05-23 21:41:53.041350
15,B,key_pressed,9,2021-05-23 21:41:53.272864
15,B,key_pressed,+,2021-05-23 21:41:53.520923
15,B,key_pressed,2,2021-05-23 21:41:53.760930
15,B,key_pressed,0,2021-05-23 21:41:53.953400
15,B,key_pressed,=,2021-05-23 21:41:54.392273
